feature,driver_value,abs_driver_value,driver_type,interpretation
V14,-0.14152317332400885,0.14152317332400885,standardized_logistic_coefficient,higher values lower fraud score
V12,-0.10865842848230313,0.10865842848230313,standardized_logistic_coefficient,higher values lower fraud score
V17,-0.09661842464804074,0.09661842464804074,standardized_logistic_coefficient,higher values lower fraud score
V10,-0.08429842926574879,0.08429842926574879,standardized_logistic_coefficient,higher values lower fraud score
V16,-0.0629057980874091,0.0629057980874091,standardized_logistic_coefficient,higher values lower fraud score
V11,0.06268579893260066,0.06268579893260066,standardized_logistic_coefficient,higher values raise fraud score
V4,0.06107580380316802,0.06107580380316802,standardized_logistic_coefficient,higher values raise fraud score
V3,-0.054154960378626646,0.054154960378626646,standardized_logistic_coefficient,higher values lower fraud score
V7,-0.045737764837087115,0.045737764837087115,standardized_logistic_coefficient,higher values lower fraud score
V9,-0.037557775148864644,0.037557775148864644,standardized_logistic_coefficient,higher values lower fraud score
V8,-0.0255172193310043,0.0255172193310043,standardized_logistic_coefficient,higher values lower fraud score
V2,0.02537738974474256,0.02537738974474256,standardized_logistic_coefficient,higher values raise fraud score
V18,-0.02512471681904603,0.02512471681904603,standardized_logistic_coefficient,higher values lower fraud score
V1,-0.01751849383071136,0.01751849383071136,standardized_logistic_coefficient,higher values lower fraud score
V21,0.01742210397782809,0.01742210397782809,standardized_logistic_coefficient,higher values raise fraud score
V6,-0.01295758430303577,0.01295758430303577,standardized_logistic_coefficient,higher values lower fraud score
Amount_is_zero,0.008918297299448005,0.008918297299448005,standardized_logistic_coefficient,higher values raise fraud score
V13,-0.008392485101766529,0.008392485101766529,standardized_logistic_coefficient,higher values lower fraud score
V5,-0.008229096802554346,0.008229096802554346,standardized_logistic_coefficient,higher values lower fraud score
V19,0.007866963214127247,0.007866963214127247,standardized_logistic_coefficient,higher values raise fraud score
Amount,0.006697038591927988,0.006697038591927988,standardized_logistic_coefficient,higher values raise fraud score
Hour_sin,-0.0066727018241830565,0.0066727018241830565,standardized_logistic_coefficient,higher values lower fraud score
V22,0.006585017367493713,0.006585017367493713,standardized_logistic_coefficient,higher values raise fraud score
V26,0.0057669764891387365,0.0057669764891387365,standardized_logistic_coefficient,higher values raise fraud score
Hour_cos,0.00568256195463017,0.00568256195463017,standardized_logistic_coefficient,higher values raise fraud score
V24,-0.0050845806719213085,0.0050845806719213085,standardized_logistic_coefficient,higher values lower fraud score
V25,-0.004176059453667207,0.004176059453667207,standardized_logistic_coefficient,higher values lower fraud score
V27,-0.0030613570152609477,0.0030613570152609477,standardized_logistic_coefficient,higher values lower fraud score
Amount_log1p,-0.002672502346080844,0.002672502346080844,standardized_logistic_coefficient,higher values lower fraud score
V15,-0.002597724352558592,0.002597724352558592,standardized_logistic_coefficient,higher values lower fraud score
V23,-0.002319904031480717,0.002319904031480717,standardized_logistic_coefficient,higher values lower fraud score
V20,-0.0021353668384706806,0.0021353668384706806,standardized_logistic_coefficient,higher values lower fraud score
V28,0.0005812435610537286,0.0005812435610537286,standardized_logistic_coefficient,higher values raise fraud score
