rank,row_id,actual_class,predicted_probability,threshold,amount,time_seconds,top_positive_feature_1,top_positive_log_odds_contribution_1,top_positive_feature_2,top_positive_log_odds_contribution_2,top_positive_feature_3,top_positive_log_odds_contribution_3,top_positive_feature_4,top_positive_log_odds_contribution_4,top_positive_feature_5,top_positive_log_odds_contribution_5
1,243699,1,0.8055094066263767,0.053668899607021495,1.0,152036.0,V14,2.0757367292721858,V12,0.8768140298298419,V17,0.7057707568246143,V16,0.2891404024722577,V4,0.2842499465601922
2,243749,1,0.8001931457812554,0.053668899607021495,1.0,152058.0,V14,2.0327196082399124,V12,0.8464665946476587,V17,0.6362423487702352,V4,0.3412924040845183,V16,0.3194482674604991
3,243848,1,0.7912276801651051,0.053668899607021495,1.0,152098.0,V14,1.9974533552877693,V12,0.8303625756257194,V17,0.619408256095079,V4,0.3403845540907881,V3,0.3296324607135567
4,244004,1,0.7819703942439837,0.053668899607021495,1.0,152165.0,V14,1.9621590488087903,V12,0.8142515201726814,V17,0.6025649105433566,V3,0.3478735020378064,V4,0.3394929865363056
5,244333,1,0.7724260859027495,0.053668899607021495,1.0,152307.0,V14,1.9268406964496745,V12,0.7981344334929872,V17,0.585713633954578,V3,0.3661092671537006,V4,0.3386153753583218
6,262826,1,0.7309804483346526,0.053668899607021495,0.77,160665.0,V14,1.921769880642914,V12,0.7356562319367648,V10,0.46810709346204554,V4,0.33631741041598123,V17,0.32287628397638835
7,263274,1,0.7204126999816083,0.053668899607021495,0.77,160870.0,V14,1.8940303289333582,V12,0.7138878191282538,V10,0.4546513990989857,V3,0.34240474547759503,V4,0.34010287840333303
8,238222,1,0.7158031689948203,0.053668899607021495,1.1,149582.0,V14,1.6858164438679917,V17,0.9870902821487763,V12,0.7096669605004738,V16,0.4397968092981978,V10,0.24636190967213795
9,262560,1,0.6685317974742925,0.053668899607021495,4.69,160537.0,V14,1.614960684602548,V12,0.6658079252935861,V17,0.6234279799294272,V10,0.4077027832678243,V4,0.27945272581522973
10,234574,1,0.6445627864835816,0.053668899607021495,0.0,148028.0,V14,1.8140690684731349,V12,0.7473845872156576,V10,0.480765678624792,V17,0.3477175705385924,V3,0.2551293423351508
11,249963,1,0.6255244929070235,0.053668899607021495,0.77,154657.0,V14,1.8131287343929892,V12,0.5722872483558075,V10,0.4262757138436015,V11,0.3346863937235629,V4,0.3127942323757191
12,250761,1,0.6137687385588648,0.053668899607021495,0.77,155054.0,V14,1.7896408619595252,V12,0.5430749496058407,V10,0.40181131282386856,V3,0.33148949166447056,V11,0.3306553724528136
13,252124,1,0.6108753799860831,0.053668899607021495,0.77,155662.0,V14,1.8138820253809673,V12,0.6104019409829367,V10,0.50848919395517,V3,0.2982156730420494,V17,0.2921433978492875
14,252774,1,0.6044645054755305,0.053668899607021495,0.77,155965.0,V14,1.7704665500579735,V12,0.5926420439482911,V10,0.422972851671495,V3,0.34538352485399815,V4,0.3354499524237418
15,251477,1,0.6006158260122799,0.053668899607021495,0.77,155359.0,V14,1.7541515773428806,V12,0.52691536315626,V10,0.39525687951318844,V3,0.34968009227481334,V11,0.3231607847710297
16,243393,1,0.5925597056696842,0.053668899607021495,0.01,151916.0,V14,1.2792144575295155,V17,0.6704775158007151,V12,0.5753751297768002,V16,0.36604122008729234,V10,0.30449014528125323
17,263877,1,0.5799763652721754,0.053668899607021495,0.38,161154.0,V14,1.2253642910797575,V17,0.6504147109568261,V10,0.5748452691919,V12,0.5604927437549486,V16,0.29421939093551713
18,243547,1,0.5725078848725239,0.053668899607021495,57.73,151972.0,V14,1.2739778971489524,V17,0.7626504412481766,V12,0.5581664974007212,V10,0.37188828404495805,V16,0.28010513543117144
19,249828,1,0.5494892584351111,0.053668899607021495,6.74,154599.0,V14,1.5371903096807702,V17,0.5476725405716043,V12,0.4858443725707856,V10,0.3595012186069448,V11,0.28213525764605474
20,251904,1,0.49541950026251647,0.053668899607021495,94.82,155554.0,V14,1.2502430232277209,V12,0.5151970657404409,V17,0.46331709557455364,V10,0.45535878876490277,V16,0.3469918099791179
21,251866,1,0.48211646636833927,0.053668899607021495,3.9,155535.0,V14,1.2265403821171155,V17,0.707412614462907,V12,0.5076116810202902,V10,0.2994735201978716,V4,0.2548958414273898
22,230076,1,0.48138390951061094,0.053668899607021495,0.77,146179.0,V14,1.6425473376493485,V12,0.6454787911835981,V10,0.37056177727756745,V4,0.31903388771400304,V3,0.2753646733836321
23,263324,1,0.4716635747145381,0.053668899607021495,127.14,160895.0,V17,0.9266331366684846,V14,0.6321907669084901,V12,0.49143694627709555,V16,0.46033364268236265,V10,0.3461243542960554
24,235634,1,0.46489332220577834,0.053668899607021495,0.76,148476.0,V14,0.9955932229946596,V12,0.5882026554734798,V17,0.535483701626613,V16,0.3727355942221772,V10,0.3678652454781123
25,235644,1,0.44807018277159816,0.053668899607021495,122.68,148479.0,V14,0.9877038959462512,V17,0.5926488396623447,V12,0.5621584484940335,V10,0.3954757488159435,V3,0.3170105044036806
26,241445,1,0.44042977896876934,0.053668899607021495,10.7,151029.0,V14,1.1148252011327442,V17,0.7153175200383016,V12,0.38667821363435634,V10,0.36352534080402343,V16,0.2901223876560923
27,229712,1,0.4082408657848767,0.053668899607021495,1.18,146022.0,V14,1.3356692305078723,V12,0.5754868773846786,V17,0.31055737488306234,V10,0.30997087543427027,V4,0.26230580969175277
28,235616,1,0.39423765290626805,0.053668899607021495,0.76,148468.0,V17,0.8672528393614185,V14,0.5821337307330711,V12,0.5775086336667239,V16,0.37283851907740934,V4,0.2757170096362869
29,268375,1,0.3619355332546327,0.053668899607021495,39.98,163181.0,V17,0.7760411176886007,V12,0.450460811608838,V14,0.43157445756401547,V10,0.422641472526248,V16,0.3941039469866397
30,230476,1,0.344759512265405,0.053668899607021495,94.82,146344.0,V14,1.0297016047012664,V12,0.49434648861227165,V10,0.3757771787083194,V16,0.27275329087454847,V3,0.27080230970588653
